Code.Sec	Desc.	Name	Cr.	Ects	Quota	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
MATH49E.01 	Desc.	SP.TP.EULER PROJECT 	3 	6 	Info 	AHMET KAMİL FEYZİOĞLU 	MMW 	343 	 	 	NH 102 | NH 102 | NH 102 	 	 	 	 
MATH521.01 	Desc.	ALGEBRA I 	4 	10 	Info 	AYHAN GÜNAYDIN 	TTThTh 	7878 	 	 	 	 	 	 	 
MATH531.01 	Desc.	REAL ANALYSIS I 	4 	10 	Info 	BURAK GÜREL 	TTThTh 	3434 	 	 	 	 	 	 	 
MATH533.01 	Desc.	COMPLEX ANALYSIS I 	4 	10 	Info 	OLIVER DR. BÜLTEL 	TTThTh 	1212 	 	 	 	 	 	 	 
MATH577.01 	Desc.	COMPLEX MANIFOLDS 	3 	7 	Info 	N.SADIK DEĞER 	MMW 	343 	 	 	 	 	 	 	 
MATH579.01 	Desc.	GRADUATE SEMINAR 	0 	1 	Info 	KAZIM İLHAN İKEDA 	 	 	 	 	 	 	 	 	 
MATH581.01 	Desc.	SELECTED TOPİCS IN ANALYSIS I 	3 	7 	Info 	CEM YALÇIN YILDIRIM 	WWW 	8910 	 	 	 	 	 	 	 
MATH58C.01 	Desc.	SELECTED TOPICS COMMUTATIVE ALGEBRA 	3 	7 	Info 	OLIVER DR. BÜLTEL 	TTTh 	565 	 	 	 	 	 	 	 
MATH58K.01 	Desc.	SELECTED TOPICS IN MATHEMATICS:LIE ALGEBRAS AND REPRESENTATIONS 	3 	7 	Info 	ARZU BOYSAL 	WWTh 	345 	 	 	 	 	 	 	 
MATH58N.01 	Desc.	SELECTED TOPICS MODEL THEORY OF FIELDS 	3 	7 	Info 	ÖZLEM BEYARSLAN 	TTTh 	566 	 	 	 	 	 	 	 
MATH611.01 	Desc.	DIFFERENTIAL GEOMETRY I 	4 	10 	Info 	CRAIG CHARLES VAN COEVERING 	MMWW 	5656 	 	 	 	 	 	 	 
MATH68C.01 	Desc.	SELECTED TOPİCS İN MATHEMATİCS:AN İNTRODUCTİON TO CONDENSED MATHEMATİCS 	3 	10 	Info 	KAZIM İLHAN İKEDA 	 	 	 	 	 	 	 	 	 
