Code.Sec	Desc.	Name	Cr.	Ects	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
EE 492.01 	Desc.	PROJECT 	4 	8 	SEMA DUMANLI OKTAR 	 	 	 	 	 	 	 	 	 
EE 535.01 	Desc.	INTRODUCTION TO MICROELECTROMECHANICAL SYSTEMS 	3 	8 	ARDA YALÇINKAYA 	MWW 	534 	 	 	KB SHANNON-232 | KB FARADAY | KB FARADAY 	 	 	 	 
EE 537.01 	Desc.	INTRODUCTION TO VLSI DESIGN 	3 	8 	GÜNHAN DÜNDAR 	TTTh 	788 	 	 	KB MAXWELL-251 | KB MAXWELL-251 | KB FOURIER-233 	 	 	 	 
EE 540.01 	Desc.	ADVANCED DIGITAL DESIGN 	3 	8 	İSMAİL FAİK BAŞKAYA 	TThTh 	256 	 	 	KB FARADAY | KB FARADAY | KB FARADAY 	 	 	 	 
EE 550.01 	Desc.	ARTIFICIAL NEURAL NETWORKS 	3 	8 	KEMAL CILIZ 	MMW 	563 	 	 	KB FOURIER-233 | KB FOURIER-233 | KB FOURIER-233 	 	 	 	 
EE 551.01 	Desc.	ROBUST CONTROL 	3 	8 	LEVENT TURAN 	MMW 	787 	 	 	KB MAXWELL-251 | KB MAXWELL-251 | KB FOURIER-233 	 	 	 	 
EE 573.01 	Desc.	PATTERN RECOGNITION 	3 	8 	IŞIL BOZMA 	MMW 	455 	 	 	KB MAXWELL-251 | KB MAXWELL-251 | KB MAXWELL-251 	 	 	 	 
EE 577.01 	Desc.	STATISTICAL SIGNAL ANALYSIS 	3 	8 	MUTLU KOCA 	MMTh 	567 	 	 	| N/A | KB MAXWELL-251 	 	 	 	 
  	 	P.S. 	  	  	MUTLU KOCA 	 	 	 	 	 	 	 	 	 
EE 579.01 	Desc.	GRADUATE SEMINAR 	0 	1 	MURAT SARAÇLAR 	F 	7 	 	 	 	 	 	 	 
EE 581.01 	Desc.	SPECIAL TOPICS NETWORK SECURITY AND CRYPTOGRAPHY 	3 	8 	EMİN ANARIM 	MMM 	456 	 	 	KB DAĞÖZAY-234 | KB DAĞÖZAY-234 | KB DAĞÖZAY-234 	 	 	 	 
EE 583.01 	Desc.	SPECIAL TOPICS DEEP LEARNING 	3 	8 	MURAT SARAÇLAR 	TThTh 	323 	 	 	KB MAXWELL-251 | KB MAXWELL-251 | KB MAXWELL-251 	 	 	 	 
EE 58N.01 	Desc.	SPECIAL TOPICS DIFFUSION MAGNETIC RESONANCE IMAGING 	3 	8 	İBRAHİM ALPAY ÖZCAN 	TThTh 	256 	 	 	KB FOURIER-233 | KB FOURIER-233 | KB FOURIER-233 	 	 	 	 
EE 593.01 	Desc.	SPECIAL TOPICS:LIDAR SYSTEMS AND APPLICATIONS 	3 	8 	AZAD OZAN KORKAN 	FFF 	234 	 	 	KB DAĞÖZAY-234 | KB DAĞÖZAY-234 | KB DAĞÖZAY-234 	 	 	 	 
EE 631.01 	Desc.	ADVANCED ELECTRONIC CIRCUITS 	3 	8 	GÜNHAN DÜNDAR 	TThTh 	523 	 	 	KB FOURIER-233 | KB FOURIER-233 | KB FOURIER-233 	 	 	 	 
EE 652.01 	Desc.	ADAPTIVE CONTROL 	3 	8 	KEMAL CILIZ 	TTT 	789 	 	 	KB FOURIER-233 | KB FOURIER-233 | KB FOURIER-233 	 	 	 	 
EE 677.01 	Desc.	DETECTION AND ESTIMATION THEORY 	3 	8 	EMİN ANARIM 	TTT 	456 	 	 	KB DAĞÖZAY-234 | KB DAĞÖZAY-234 | KB DAĞÖZAY-234 	 	 	 	 
